code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,surface_bv,statut_site,premier_mois_etiage_site,premier_mois_annee_hydro_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,grandeur_hydro,date_maj_site,date_premiere_donnee_dispo_site,commentaire_influence_generale_site,commentaire_site,type_contexte_loi_stat_site,type_loi_site,libelle_departement,geometry
10250002,[Sainte-Rose [Bonne Mere]] à Sainte-Rose [Grande riviere a goyave],REEL,642330.0,1799480.0,39,-61.667993471,16.271941152,,,,2,12,7,2.0,00000000,00000000,['97129'],1025,['SAINTE-ROSE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.667993470625184, 16.27194115222219]}"
10400001,[Ravine Bleue] à Sainte-Rose,REEL,636995.19,1801872.23,39,-61.717770023,16.293870123,159.04,11.0,5.7,1,12,7,0.0,00000000,00000000,['97129'],1040,['SAINTE-ROSE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.71777002266955, 16.293870122825993]}"
10400002,[Sainte-Rose [Forêt de Marolles]] à Sainte-Rose [Riviere moustique sainte-rose],REEL,637277.0,1802198.0,39,-61.715113667,16.296798381,,,,2,12,7,0.0,00000000,00000000,['97129'],1040,['SAINTE-ROSE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.715113666896485, 16.296798380709873]}"
10440001,[Riviere nogent] à Sainte-Rose,REEL,634056.0,1806519.0,39,-61.745007441,16.336032497,,,,2,12,7,0.0,00000000,00000000,['97129'],1044,['SAINTE-ROSE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.745007441032065, 16.336032496623748]}"
11100001,[Prise d'eau] à Petit-Bourg [TRIANON],REEL,646709.28,1786885.4,39,-61.627806244,16.157854094,109.0,11.0,11.5,1,12,7,0.0,00000000,00000000,['97118'],1110,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-26T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.62780624440622, 16.15785409386217]}"
11110001,[pont RN] à Petit-Bourg,REEL,649437.44,1789570.17,39,-61.60212418,16.181951987,14.66,11.0,18.0,1,12,7,0.0,00000000,00000000,['97118'],1111,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.60212417962158, 16.18195198729917]}"
11120001,[Riviere la rose] à Goyave [cote 75],REEL,649972.0,1786000.0,39,-61.597352472,16.149653493,,,,1,12,7,2.0,00000000,00000000,['97114'],1112,['GOYAVE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.59735247231803, 16.149653492749554]}"
11130001,[Riviere lezarde] à Petit-Bourg [cote 85],REEL,644620.0,1789336.0,39,-61.647192928,16.180126943,,,,2,12,7,2.0,00000000,00000000,['97118'],1113,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.64719292777714, 16.180126942610492]}"
11200001,[Prise d'eau] à Capesterre-Belle-Eau [DIGUE],REEL,648743.56,1777391.67,39,-61.609381528,16.071929809,188.93,11.0,137.1,1,12,7,0.0,00000000,11200080,['97107'],1120,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-26T00:00:00Z,,Station située en amont d'une prise d'eau potable. Débit naturel en l'absence de prise d'eau en amont.,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.60938152783216, 16.071929809260567]}"
11200002,[pont RN] à Capesterre-Belle-Eau,REEL,653386.53,1775775.4,39,-61.56608824,16.057036348,11.83,11.0,23.5,1,12,7,0.0,00000000,00000000,['97107'],1120,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.56608824032757, 16.057036348047784]}"
11200003,[Capesterre-Belle-Eau [cote 95]] à Capesterre-Belle-Eau,REEL,651308.0,1776842.0,39,-61.585446667,16.066805019,,,,1,12,7,0.0,00000000,00000000,['97107'],1120,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.58544666676471, 16.066805019491625]}"
11210001,[Riviere du Perou] à Capesterre-Belle-Eau [cote 205],REEL,649394.0,1775806.0,39,-61.603401793,16.057559475,,,,1,12,7,0.0,00000000,00000000,['97107'],1121,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.60340179321401, 16.057559475334923]}"
11220001,[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Amont prise Marquis],REEL,649170.0,1773830.0,39,-61.605619672,16.039714664,,,,1,12,7,0.0,00000000,00000000,['97107'],1122,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.605619671721506, 16.039714664139193]}"
11220002,[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Cote 15],REEL,652457.0,1771951.0,39,-61.57502155,16.022531066,,,,1,12,7,0.0,00000000,00000000,['97107'],1122,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.575021550332046, 16.02253106624407]}"
11220003,[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Barrage],REEL,647232.0,1774445.0,39,-61.623693349,16.045389917,,,,1,12,7,0.0,00000000,00000000,['97107'],1122,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.6236933488594, 16.045389917462202]}"
11230001,[riviere Moreau] à Goyave [cote 170],REEL,648082.0,1783120.0,39,-61.615206314,16.123740687,,,,1,12,7,0.0,00000000,00000000,['97114'],1123,['GOYAVE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.6152063143718, 16.12374068683957]}"
11240001,[Petite Riviere A Goyave] à Goyave,REEL,651060.0,1783530.0,39,-61.587337245,16.127263578,,,,1,12,7,2.0,00000000,00000000,['97114'],1124,['GOYAVE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.58733724474589, 16.12726357838586]}"
11260001,[riviere Sainte Marie] à Capesterre-Belle-Eau,REEL,653742.0,1780532.0,39,-61.562456953,16.100001781,,,,1,12,7,2.0,00000000,00000000,['97107'],1126,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.562456952876886, 16.100001781159467]}"
11310001,[Pont RD] à Trois-Rivières [Grande Anse],REEL,643458.3,1765327.65,39,-61.659512131,15.963211632,-0.1,11.0,16.0,1,12,7,0.0,00000000,00000000,['97132'],1131,['TROIS-RIVIERES'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.659512131166316, 15.963211631619853]}"
11340001,[riviere Bananier] à Capesterre-Belle-Eau [Pont Thévenin],REEL,648794.0,1771553.0,39,-61.609276275,16.019158627,,,,1,12,7,0.0,00000000,00000000,['97107'],1134,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.60927627485244, 16.019158627089958]}"
11340002,[riviere Bananier] à Capesterre-Belle-Eau [Déversoir à l'échelle],REEL,648133.0,1772195.0,39,-61.615413076,16.02500079,,,,1,12,7,0.0,00000000,00000000,['97107'],1134,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.61541307635988, 16.025000789679275]}"
11340003,[rivière Bananier] à Capesterre-Belle-Eau [Déversoir au limnigraphe],REEL,648147.0,1772195.0,39,-61.615282247,16.024999945,,,,1,12,7,0.0,00000000,00000000,['97107'],1134,['CAPESTERRE-BELLE-EAU'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.61528224707972, 16.024999945392032]}"
12120001,[Rivière des Pères] à Baillif [Rivière des Pères],REEL,634889.58,1770534.91,39,-61.739269766,16.010759526,16.5,11.0,25.0,1,12,7,0.0,00000000,00000000,['97104'],1212,['BAILLIF'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-26T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.73926976607912, 16.01075952592125]}"
12130001,[riviere aux Herbes] à Basse-Terre,REEL,636410.0,1768948.0,39,-61.725152838,15.996332898,,,,1,12,7,2.0,00000000,00000000,['97105'],1213,['BASSE-TERRE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.72515283764608, 15.996332898120547]}"
12140001,[Galion] à Basse-Terre,REEL,636922.0,1768166.0,39,-61.720413666,15.989236632,,,,1,12,7,2.0,00000000,00000000,['97105'],1214,['BASSE-TERRE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.72041366579439, 15.989236631792972]}"
12180001,[riviere du Plessis] à Baillif,REEL,637069.0,1776853.0,39,-61.718538802,16.067742559,,,,1,12,7,2.0,00000000,00000000,['97104'],1218,['BAILLIF'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.7185388017336, 16.067742558785383]}"
12200001,[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 570],REEL,639502.0,1781550.0,39,-61.695519784,16.110056606,,,,1,12,7,2.0,00000000,00000000,['97134'],1220,['VIEUX-HABITANTS'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.695519783845086, 16.110056606156352]}"
12200002,[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 325],REEL,637148.0,1780600.0,39,-61.717583131,16.101603762,,,,1,12,7,2.0,00000000,00000000,['97134'],1220,['VIEUX-HABITANTS'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.717583131356236, 16.101603762362735]}"
12210001,[Prise d'eau] à Vieux-Habitants [Barthole],REEL,636345.62,1778927.99,39,-61.725180957,16.086536891,253.52,11.0,19.2,1,12,7,0.0,00000000,00000000,['97134'],1221,['VIEUX-HABITANTS'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-26T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.72518095705126, 16.08653689137637]}"
12210002,[Pont RN] à Vieux-Habitants,REEL,632646.48,1775931.47,39,-61.759929533,16.059657043,15.76,11.0,28.1,1,12,7,0.0,00000000,00000000,['97134'],1221,['VIEUX-HABITANTS'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.75992953341686, 16.05965704319181]}"
12240001,[riviere Beaugendre] à Vieux-Habitants [cote 77],REEL,633780.0,1780247.0,39,-61.74909047,16.098599964,,,,2,12,7,2.0,00000000,00000000,['97134'],1224,['VIEUX-HABITANTS'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.74909047001776, 16.098599964243]}"
12270001,[pont RD] à Bouillante [Lostau],REEL,631970.4,1787278.63,39,-61.765614739,16.162251555,22.76,11.0,8.8,1,12,7,0.0,00000000,00000000,['97106'],1227,['BOUILLANTE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.765614739157215, 16.162251554567536]}"
12270002,[riviere Lostau] à Bouillante [cote 70],REEL,632885.0,1787115.0,39,-61.757070717,16.160722892,,,,1,12,7,2.0,00000000,00000000,['97106'],1227,['BOUILLANTE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.757070717271645, 16.16072289193592]}"
12270003,[rivière Lostau] à Bouillante [Déversoir],REEL,633581.0,1787263.0,39,-61.750553449,16.162022446,,,,1,12,7,0.0,00000000,00000000,['97106'],1227,['BOUILLANTE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.75055344907812, 16.162022445521878]}"
12320001,La rivière de Petite-Plaine à Pointe-Noire,REEL,630814.82,1794138.71,39,-61.776039409,16.224316529,14.13,11.0,14.0,1,12,7,0.0,12320020,12322417,['97121'],1232,['POINTE-NOIRE'],['971'],['01'],['GUADELOUPE'],12320020,Rivière de Petite-Plaine,http://id.eaufrance.fr/CEA/12320020,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.77603940873914, 16.22431652915044]}"
12320002,[riviere Petite Plaine] à Pointe-Noire [Historique],REEL,634080.0,1776860.0,39,-61.746477755,16.067971261,,,,2,12,7,0.0,00000000,00000000,['97121'],1232,['POINTE-NOIRE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.74647775495265, 16.06797126051486]}"
12350001,[riviere Ferry] à Deshaies [cote 35],REEL,629220.0,1800926.0,39,-61.79058361,16.285746742,,,,1,12,7,2.0,00000000,00000000,['97111'],1235,['DESHAIES'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.790583610010444, 16.285746742178972]}"
